Datenbank;Suchbegriff;URL;Relevant;Wissenschaftlich;Konkret;Präsentiert Lösung;Unzugänglich;Duplicate
ACM Digital;Autonomous driving ethics;https://dl.acm.org/doi/10.1145/3341042.3341060;TRUE;TRUE;TRUE;TRUE;FALSE;
ACM Digital;Autonomous driving ethics;https://dl.acm.org/doi/10.1145/2799250.2799270;TRUE;TRUE;TRUE;TRUE;FALSE;
ACM Digital;Autonomous driving ethics;https://dl.acm.org/doi/10.1145/2799250.2799268;FALSE;;;;;
ACM Digital;Autonomous driving ethics;https://dl.acm.org/doi/10.1145/3131944.3133941;FALSE;;;;;
ACM Digital;Autonomous driving ethics;https://dl.acm.org/doi/10.1145/3025171.3025198;FALSE;;;;;
ACM Digital;Autonomous driving ethics;https://dl.acm.org/doi/10.1145/3349263.3351515;FALSE;;;;;
ACM Digital;Autonomous driving ethics;https://dl.acm.org/doi/10.1145/2752489.2752491;FALSE;;;;;
ACM Digital;Autonomous driving ethics;https://dl.acm.org/doi/10.1145/3194085.3194089;FALSE;;;;;
ACM Digital;Autonomous driving ethics;https://dl.acm.org/doi/10.1145/3357384.3365510;FALSE;;;;;
ACM Digital;Autonomous driving ethics;https://dl.acm.org/doi/10.1145/3003715.3005411;FALSE;;;;;
ACM Digital;Trolley problem;https://dl.acm.org/doi/10.1145/3004323.3004336;TRUE;TRUE;TRUE;TRUE;FALSE;
ACM Digital;Trolley problem;https://dl.acm.org/doi/10.1145/3290605.3300739;TRUE;TRUE;TRUE;FALSE;FALSE;
ACM Digital;Trolley problem;https://dl.acm.org/doi/10.1145/3194770.3194772;TRUE;TRUE;TRUE;FALSE;FALSE;
ACM Digital;Trolley problem;https://dl.acm.org/doi/10.1145/3306618.3314261;FALSE;;;;;
ACM Digital;Trolley problem;https://dl.acm.org/doi/10.5555/1782254.1782264;FALSE;;;;;
ACM Digital;Trolley problem;https://dl.acm.org/doi/10.1145/3306618.3314320;FALSE;;;;;
ACM Digital;Trolley problem;https://dl.acm.org/doi/10.1145/2809957.2809966;FALSE;;;;;
