Datenbank;Suchbegriff;URL;Relevant;Wissenschaftlich;Konkret;Präsentiert Lösung;Unverfügbar
ACM Digital;Singularity;https://dl.acm.org/doi/10.1145/2331714.2331725;TRUE;TRUE;FALSE;FALSE;FALSE
ACM Digital;Singularity;https://dl.acm.org/doi/10.1145/1735997.1735999;FALSE;;;;
ACM Digital;Singularity;https://dl.acm.org/doi/10.1145/2559636.2559828;FALSE;;;;
ACM Digital;Singularity;https://dl.acm.org/doi/10.1145/1243418.1243424;FALSE;;;;
ACM Digital;Singularity;https://dl.acm.org/doi/10.1145/2667644;FALSE;;;;
ACM Digital;Singularity;https://dl.acm.org/doi/10.1145/2668388;FALSE;;;;
ACM Digital;Singularity;https://dl.acm.org/doi/10.1145/3332186.3332192;FALSE;;;;
ACM Digital;Singularity;https://dl.acm.org/doi/10.1145/3311790.3401776;FALSE;;;;
ACM Digital;Singularity;https://dl.acm.org/doi/10.1145/1572272.1572275;FALSE;;;;
ACM Digital;Singularity;https://dl.acm.org/doi/10.1145/1119621.1117663;FALSE;;;;
ACM Digital;Strong AI ethics;https://dl.acm.org/doi/10.1145/3375627.3375811;FALSE;;;;
ACM Digital;Strong AI ethics;https://dl.acm.org/doi/10.1145/3278721.3278806;FALSE;;;;
ACM Digital;Strong AI ethics;https://dl.acm.org/doi/10.1145/3278721.3278765;FALSE;;;;
ACM Digital;Strong AI ethics;https://dl.acm.org/doi/10.1145/3306618.3314289;TRUE;TRUE;TRUE;FALSE;FALSE
ACM Digital;Strong AI ethics;https://dl.acm.org/doi/10.1145/3375627.3375804;FALSE;;;;
ACM Digital;Strong AI ethics;https://dl.acm.org/doi/10.1145/3306618.3314238;FALSE;;;;
ACM Digital;Strong AI ethics;https://dl.acm.org/doi/10.1145/3363384.3363393;TRUE;TRUE;FALSE;FALSE;FALSE
ACM Digital;Strong AI ethics;https://dl.acm.org/doi/proceedings/10.1145/3375627;FALSE;;;;
ACM Digital;Strong AI ethics;https://dl.acm.org/doi/10.1145/3362077.3362087;TRUE;TRUE;FALSE;TRUE;FALSE
ACM Digital;Strong AI ethics;https://dl.acm.org/doi/proceedings/10.1145/3278721;FALSE;;;;
ACM Digital;Superintelligence ethics;https://dl.acm.org/doi/10.1145/2793013.2793022;FALSE;;;;
ACM Digital;Superintelligence ethics;https://dl.acm.org/doi/10.1145/2786451.2786465;FALSE;;;;
ACM Digital;Superintelligence ethics;https://dl.acm.org/doi/10.1145/263244.263245;FALSE;;;;
ACM Digital;Superintelligence ethics;https://dl.acm.org/doi/10.1145/382042.382049;FALSE;;;;
ACM Digital;Superintelligence ethics;https://dl.acm.org/doi/10.1145/2038476.2038533;FALSE;;;;
ACM Digital;Superintelligence ethics;https://dl.acm.org/doi/10.1145/3351095.3372860;FALSE;;;;
ACM Digital;Superintelligence ethics;https://dl.acm.org/doi/10.1145/199544.199595;FALSE;;;;
ACM Digital;Superintelligence ethics;https://dl.acm.org/doi/10.1145/3236024.3264833;FALSE;;;;
ACM Digital;Superintelligence ethics;https://dl.acm.org/doi/10.1145/3278721.3278745;FALSE;;;;
ACM Digital;Superintelligence ethics;https://dl.acm.org/doi/10.1145/2736277.2741654;FALSE;;;;
Springer Link;Singularity;https://link.springer.com/chapter/10.1007/978-3-662-56714-2_14;FALSE;;;;
Springer Link;Singularity;https://link.springer.com/chapter/10.1007/978-3-658-19178-8_5;FALSE;;;;
Springer Link;Singularity;https://link.springer.com/chapter/10.1007/978-3-662-46224-9_63;FALSE;;;;
Springer Link;Singularity;https://link.springer.com/chapter/10.1007/978-3-658-08844-6_49;FALSE;;;;
Springer Link;Singularity;https://link.springer.com/chapter/10.1007/978-3-658-25589-3_4;FALSE;;;;
Springer Link;Singularity;https://link.springer.com/chapter/10.1007/978-3-662-50255-6_3;FALSE;;;;
Springer Link;Singularity;https://link.springer.com/chapter/10.1007/978-3-658-17981-6_1;FALSE;;;;
Springer Link;Singularity;https://link.springer.com/chapter/10.1007/978-3-662-59771-2_2;FALSE;;;;
Springer Link;Singularity;https://link.springer.com/chapter/10.1007/978-3-662-58046-2_10;FALSE;;;;
Springer Link;Singularity;https://link.springer.com/chapter/10.1007/978-3-662-48453-1_10;FALSE;;;;
Springer Link;Strong AI ethics;https://link.springer.com/chapter/10.1007/978-3-658-25652-4_11;FALSE;;;;
Springer Link;Strong AI ethics;https://link.springer.com/chapter/10.1007/978-3-658-25652-4_3;FALSE;;;;
Springer Link;Strong AI ethics;https://link.springer.com/chapter/10.1007/978-3-658-25210-6_36;FALSE;;;;
Springer Link;Strong AI ethics;-;;;;;
Springer Link;Strong AI ethics;-;;;;;
Springer Link;Strong AI ethics;-;;;;;
Springer Link;Strong AI ethics;-;;;;;
Springer Link;Strong AI ethics;-;;;;;
Springer Link;Strong AI ethics;-;;;;;
Springer Link;Strong AI ethics;-;;;;;
Springer Link;Superintelligence ethics;-;;;;;
Springer Link;Superintelligence ethics;-;;;;;
