Datenbank;Suchbegriff;URL;Relevant;Wissenschaftlich;Konkret;Präsentiert Lösung;Unverfügbar
ACM Digital;AI ownership ethics;https://dl.acm.org/doi/10.1145/3375627.3375811;FALSE;;;;
ACM Digital;AI ownership ethics;https://dl.acm.org/doi/10.1145/3278721.3278806;FALSE;;;;
ACM Digital;AI ownership ethics;https://dl.acm.org/doi/10.1145/3278721.3278765;FALSE;;;;
ACM Digital;AI ownership ethics;https://dl.acm.org/doi/10.1145/3375627.3375804;FALSE;;;;
ACM Digital;AI ownership ethics;https://dl.acm.org/doi/10.1145/3306618.3314289;FALSE;;;;
ACM Digital;AI ownership ethics;https://dl.acm.org/doi/10.1145/3306618.3314238;FALSE;;;;
ACM Digital;AI ownership ethics;https://dl.acm.org/doi/10.1145/3363384.3363393;FALSE;;;;
ACM Digital;AI ownership ethics;https://dl.acm.org/doi/proceedings/10.1145/3375627;FALSE;;;;
ACM Digital;AI ownership ethics;https://dl.acm.org/doi/10.1145/3362077.3362087;FALSE;;;;
ACM Digital;AI ownership ethics;https://dl.acm.org/doi/proceedings/10.1145/3278721;FALSE;;;;
ACM Digital;Copyright AI result;https://dl.acm.org/doi/10.1145/3385209.3385228;FALSE;;;;
ACM Digital;Copyright AI result;https://dl.acm.org/doi/10.1145/1132469.1132491;FALSE;;;;
ACM Digital;Copyright AI result;https://dl.acm.org/doi/10.1145/3306618.3314238;FALSE;;;;
ACM Digital;Copyright AI result;https://dl.acm.org/doi/10.1145/3306618.3314258;FALSE;;;;
ACM Digital;Copyright AI result;https://dl.acm.org/doi/10.1145/3375627.3375831;FALSE;;;;
ACM Digital;Copyright AI result;https://dl.acm.org/doi/10.1145/3306618.3314281;FALSE;;;;
ACM Digital;Copyright AI result;https://dl.acm.org/doi/10.1145/3306618.3314250;FALSE;;;;
ACM Digital;Copyright AI result;https://dl.acm.org/doi/10.1145/3278721.3278801;FALSE;;;;
ACM Digital;Copyright AI result;https://dl.acm.org/doi/10.1145/3054837.3054841;FALSE;;;;
ACM Digital;Copyright AI result;https://dl.acm.org/doi/10.1145/3334480.3375044;FALSE;;;;
ACM Digital;Deepfake ethics;https://dl.acm.org/doi/10.1145/2793013.2793022;FALSE;;;;
ACM Digital;Deepfake ethics;https://dl.acm.org/doi/10.1145/2786451.2786465;FALSE;;;;
ACM Digital;Deepfake ethics;https://dl.acm.org/doi/10.1145/263244.263245;FALSE;;;;
ACM Digital;Deepfake ethics;https://dl.acm.org/doi/10.1145/382042.382049;FALSE;;;;
ACM Digital;Deepfake ethics;https://dl.acm.org/doi/10.1145/2038476.2038533;FALSE;;;;
ACM Digital;Deepfake ethics;https://dl.acm.org/doi/10.1145/3351095.3372860;FALSE;;;;
ACM Digital;Deepfake ethics;https://dl.acm.org/doi/10.1145/3366424.3382711;FALSE;;;;
ACM Digital;Deepfake ethics;https://dl.acm.org/doi/10.1145/199544.199595;TRUE;TRUE;TRUE;FALSE;FALSE
ACM Digital;Deepfake ethics;https://dl.acm.org/doi/10.1145/3236024.3264833;FALSE;;;;
ACM Digital;Deepfake ethics;https://dl.acm.org/doi/10.1145/3278721.3278745;FALSE;;;;
Springer Link;AI ownership ethics;https://link.springer.com/chapter/10.1007/978-3-658-27941-7_3;FALSE;;;;
Springer Link;AI ownership ethics;-;;;;;
Springer Link;AI ownership ethics;-;;;;;
Springer Link;AI ownership ethics;-;;;;;
Springer Link;AI ownership ethics;-;;;;;
Springer Link;AI ownership ethics;-;;;;;
Springer Link;AI ownership ethics;-;;;;;
